%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.name5,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5,field.velocity0,field.velocity1,field.velocity2,field.velocity3,field.velocity4,field.velocity5,field.effort0,field.effort1,field.effort2,field.effort3,field.effort4,field.effort5
1761396909632272889,17014,1761396909631332816,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396909652195183,17015,1761396909651383271,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396909672360003,17016,1761396909671368551,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396909691946013,17017,1761396909691384919,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396909711865459,17018,1761396909711334945,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396909731895186,17019,1761396909731383868,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396909752250728,17020,1761396909751390958,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396909772330323,17021,1761396909771335685,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396909792387616,17022,1761396909791400141,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396909811884980,17023,1761396909811326586,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
